classifier;balancing;embedding;accuracy;precision;recall;f1;tp;tn;fp;fn;auroc_art;auroc_gaming;auroc_memberships;auroc_music;auroc_pfps;auroc_photography;auroc_virtual-worlds;cm_path
SVM;oversampling;clean_lemmatization_paraphrase-multilingual-MiniLM-L12-v2;0,6303387334315169;0,6599211076021675;0,630441147701336;0,6392778185289779;428;3823;251;251;0,8241450777202073;0,9198250728862973;0,8623539689609099;0,9545826513911619;0,8700518134715025;0,9471881695879728;0,8777577505407355;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/SVM_oversampling_clean_lemmatization_paraphrase-multilingual-MiniLM-L12-v2_confusion_matrix.png
SVM;smote;clean_lemmatization_paraphrase-multilingual-MiniLM-L12-v2;0,6273932253313697;0,6558303675644362;0,6274044743853932;0,6357382943366288;426;3821;253;253;0,8267012089810015;0,9189840771473424;0,8634674021035321;0,9547099472631388;0,8697754749568221;0,9460465769784678;0,8768204758471522;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/SVM_smote_clean_lemmatization_paraphrase-multilingual-MiniLM-L12-v2_confusion_matrix.png
DTree;unbalanced;clean_lemmatization_paraphrase-multilingual-MiniLM-L12-v2;0,36524300441826213;0,36650289269712744;0,3659781753258847;0,3644820261175704;248;3643;431;431;0,6073575129533678;0,6075353218210362;0,5794648669019152;0,7494817239498092;0,6133246977547496;0,6873002212933367;0,5896539293439077;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/DTree_unbalanced_clean_lemmatization_paraphrase-multilingual-MiniLM-L12-v2_confusion_matrix.png
DTree;undersampling;clean_lemmatization_paraphrase-multilingual-MiniLM-L12-v2;0,33136966126656847;0,33250335981456497;0,3340608728056983;0,33217702749808;225;3620;454;454;0,5866666666666667;0,6282051282051283;0,5335143375929288;0,7312965993817059;0,527098445595855;0,6814605360216376;0,6157624369142033;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/DTree_undersampling_clean_lemmatization_paraphrase-multilingual-MiniLM-L12-v2_confusion_matrix.png
DTree;oversampling;clean_lemmatization_paraphrase-multilingual-MiniLM-L12-v2;0,3402061855670103;0,3410431718542796;0,3412229961262682;0,34082647005016853;231;3626;448;448;0,556580310880829;0,6015829408686552;0,6088338072561581;0,7388525186397527;0,5988687392055269;0,6490041799852472;0,5896539293439078;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/DTree_oversampling_clean_lemmatization_paraphrase-multilingual-MiniLM-L12-v2_confusion_matrix.png
DTree;smote;clean_lemmatization_paraphrase-multilingual-MiniLM-L12-v2;0,35346097201767307;0,352751468163147;0,35398850565369655;0,3532903964678656;240;3635;439;439;0,6328497409326423;0,6083202511773941;0,6252098393230326;0,7423440625568285;0,5636873920552677;0,6635111876075731;0,556056236481615;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/DTree_smote_clean_lemmatization_paraphrase-multilingual-MiniLM-L12-v2_confusion_matrix.png
RF;unbalanced;clean_lemmatization_paraphrase-multilingual-MiniLM-L12-v2;0,6126656848306333;0,619279010174228;0,6150108239516779;0,6148457538891173;416;3811;263;263;0,7710017271157167;0,8936046946251028;0,8600328891020589;0,9416530278232406;0,8098791018998274;0,9327514138185394;0,835436193222783;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/RF_unbalanced_clean_lemmatization_paraphrase-multilingual-MiniLM-L12-v2_confusion_matrix.png
RF;undersampling;clean_lemmatization_paraphrase-multilingual-MiniLM-L12-v2;0,6156111929307806;0,6204928533450392;0,6178350936191165;0,6171925829327523;418;3813;261;261;0,791252158894646;0,8927543544890483;0,8554678132173079;0,93839789052555;0,8187132987910191;0,9324352804805227;0,8455209084354721;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/RF_undersampling_clean_lemmatization_paraphrase-multilingual-MiniLM-L12-v2_confusion_matrix.png
RF;oversampling;clean_lemmatization_paraphrase-multilingual-MiniLM-L12-v2;0,6038291605301914;0,6075934070881207;0,6064499421982842;0,6051934827180036;410;3805;269;269;0,7950518134715027;0,8724302907976378;0,8423978210969886;0,9222222222222223;0,8145682210708117;0,9243387544346483;0,8386265320836337;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/RF_oversampling_clean_lemmatization_paraphrase-multilingual-MiniLM-L12-v2_confusion_matrix.png
RF;smote;clean_lemmatization_paraphrase-multilingual-MiniLM-L12-v2;0,5758468335787923;0,5805614443990618;0,5779005984095004;0,5781725776800849;391;3786;288;288;0,7830656303972365;0,9027341705913134;0,8537805337627189;0,9296963084197127;0,8002331606217616;0,9216516210615056;0,8375360490266762;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/RF_smote_clean_lemmatization_paraphrase-multilingual-MiniLM-L12-v2_confusion_matrix.png
